place_id,name,area,type_queried,latitude,longitude,types,rating,user_ratings_total,vicinity,price_level
ChIJc6MfdM8EdkgRC61xcbX79DA,Old War Office Building,Central London,tourist_attraction,51.5054188,-0.1259695,"tourist_attraction,point_of_interest,establishment",4.6,505.0,"Whitehall, London",
ChIJj91E_coEdkgRlUibJh13Jws,Theatre Royal Drury Lane,Central London,tourist_attraction,51.51285360000001,-0.1203715,"tourist_attraction,point_of_interest,store,establishment",4.7,9781.0,"Catherine Street, London",
ChIJB9OTMDIbdkgRp0JWbQGZsS8,The British Museum,Central London,tourist_attraction,51.5194133,-0.1269566,"museum,tourist_attraction,point_of_interest,establishment",4.7,160134.0,"Great Russell Street, London",
ChIJq4lX1doEdkgR5JXPstgQjc0,Churchill War Rooms,Central London,tourist_attraction,51.5021585,-0.1293572,"tourist_attraction,museum,point_of_interest,establishment",4.6,13886.0,"King Charles Street, London",
ChIJW58eotEEdkgRr6-cmS2kqCQ,His Majesty's Theatre,Central London,tourist_attraction,51.50824290000001,-0.131863,"tourist_attraction,point_of_interest,store,establishment",4.7,14074.0,"Haymarket, London",
ChIJS2-WPs4EdkgR9O-GWtGix3A,Statue of Oliver Cromwell,Central London,tourist_attraction,51.4998468,-0.1258289,"tourist_attraction,point_of_interest,establishment",4.1,119.0,"2 Saint Margaret Street, London",
ChIJWe8waNkEdkgRjTnMWd4ga-w,Flanders Fields Memorial Garden,Central London,tourist_attraction,51.5005394,-0.1357828,"tourist_attraction,park,point_of_interest,establishment",4.7,20.0,"Westminster, London",
ChIJh6xGlCUFdkgRp6BbivF2ipM,Bomber Command Memorial,Central London,tourist_attraction,51.5033222,-0.1489698,"tourist_attraction,point_of_interest,establishment",4.7,523.0,"The Green Park, along, Piccadilly, London",
ChIJ4zA6bSUFdkgRhoa6uOKCjAo,Machine Gun Corps Memorial,Central London,tourist_attraction,51.50320869999999,-0.1507247,"tourist_attraction,point_of_interest,establishment",4.3,38.0,"4 Duke of Wellington Place, London",
ChIJc2nSALkEdkgRviluWxwFsxA,SEA LIFE London Aquarium,Central London,tourist_attraction,51.501558,-0.119506,"aquarium,tourist_attraction,point_of_interest,establishment",4.3,26577.0,"Riverside Building, County Hall, Westminster Bridge Road, London",
ChIJc2nSALkEdkgRkuoJJBfzkUI,lastminute.com London Eye,Central London,tourist_attraction,51.5031864,-0.1195192,"tourist_attraction,point_of_interest,establishment",4.5,184812.0,"Riverside Building, County Hall, London",
ChIJ6_3yMNUEdkgRgYFYwtACqqo,Liberty London,Central London,tourist_attraction,51.5138717,-0.1400263,"department_store,tourist_attraction,hair_care,beauty_salon,spa,restaurant,food,clothing_store,health,point_of_interest,store,establishment",4.5,21814.0,"Regent Street, London",4.0
ChIJeclqF84EdkgRtKAjTmWFr0I,The National Gallery,Central London,tourist_attraction,51.508929,-0.128299,"art_gallery,tourist_attraction,museum,point_of_interest,establishment",4.7,53386.0,"Trafalgar Square, London",
ChIJtV5bzSAFdkgRpwLZFPWrJgo,Buckingham Palace,Central London,tourist_attraction,51.501364,-0.14189,"tourist_attraction,point_of_interest,establishment",4.5,178955.0,London,
ChIJlRl2MakEdkgR55tr4CNv_B8,Tate Modern,Central London,tourist_attraction,51.50759530000001,-0.09935640000000001,"art_gallery,tourist_attraction,point_of_interest,store,establishment",4.5,77211.0,"Bankside, London",0.0
ChIJLzVDusQEdkgRelObBaL_jto,Westminster Abbey,Central London,tourist_attraction,51.49936950000001,-0.1272993,"tourist_attraction,church,place_of_worship,point_of_interest,establishment",4.6,44985.0,"Dean's Yard, London",
ChIJ2dGMjMMEdkgRqVqkuXQkj7c,Big Ben,Central London,tourist_attraction,51.50072919999999,-0.1246254,"tourist_attraction,point_of_interest,establishment",4.5,77338.0,London,
ChIJpwrHSNAEdkgR1YO1RjflYXw,Institute of Contemporary Arts,Central London,tourist_attraction,51.50604609999999,-0.1311716,"art_gallery,tourist_attraction,movie_theater,bar,book_store,point_of_interest,store,establishment",4.4,1415.0,"The Mall, London",
ChIJ_zAq7TgFdkgRQg1OSw1j7hU,Harrods,Central London,tourist_attraction,51.49940549999999,-0.1632344,"department_store,tourist_attraction,jewelry_store,clothing_store,point_of_interest,store,establishment",4.4,110462.0,"87-135 Brompton Road, London",
ChIJ0-48HywBdkgRh7MH0Igd1f4,Imperial War Museum,Central London,tourist_attraction,51.4958366,-0.1086584,"museum,tourist_attraction,travel_agency,point_of_interest,establishment",4.7,29125.0,"Lambeth Road, London",
ChIJcWfE87UEdkgRoYClOMTsOQQ,Somerset House,Central London,tourist_attraction,51.511059,-0.1171479999999999,"tourist_attraction,museum,point_of_interest,establishment",4.4,1641.0,"Strand, London",
ChIJgZ24Us4adkgRpDNAwNPO_SY,Madame Tussauds London,Central London,tourist_attraction,51.52301740000001,-0.1543613,"tourist_attraction,museum,point_of_interest,establishment",4.4,77942.0,"Marylebone Road, London",
ChIJ8e-IMtUEdkgRWaAuJKup2GQ,The Photographers' Gallery,Central London,tourist_attraction,51.51492709999999,-0.1390605,"art_gallery,tourist_attraction,museum,point_of_interest,establishment",4.6,2726.0,"16-18 Ramillies Street, London",
ChIJk9LIC8cEdkgR2TkO-raMEDk,The London Dungeon,Central London,tourist_attraction,51.50251189999999,-0.1187628,"tourist_attraction,point_of_interest,establishment",4.3,18626.0,"Riverside Building, County Hall, Westminster Bridge Road, London",
ChIJh7wHoqwEdkgR3l-vqQE1HTo,St. Paul's Cathedral,Central London,tourist_attraction,51.51384530000001,-0.0983506,"tourist_attraction,church,place_of_worship,point_of_interest,establishment",4.7,47806.0,"St. Paul's Churchyard, London",
ChIJhRoYKUkFdkgRDL20SU9sr9E,Hyde Park,Central London,tourist_attraction,51.5073638,-0.1641135,"park,tourist_attraction,point_of_interest,establishment",4.7,132900.0,London,
ChIJ8W1157cEdkgRaKMYsrcpgH0,Royal Festival Hall,Central London,tourist_attraction,51.50580619999999,-0.1166288,"tourist_attraction,store,point_of_interest,establishment",4.6,10813.0,"Southbank Centre, Belvedere Road, London",
ChIJeclqF84EdkgRYkL4mtJ7rLM,National Portrait Gallery,Central London,tourist_attraction,51.5094236,-0.1281216,"art_gallery,tourist_attraction,museum,point_of_interest,establishment",4.7,13750.0,"Saint Martin's Place, London",
ChIJvWjCxekEdkgRoCgQVJHZH_U,Tate Britain,Central London,tourist_attraction,51.49106210000001,-0.1277886,"art_gallery,tourist_attraction,museum,point_of_interest,establishment",4.7,20319.0,"Millbank, London",
ChIJH-tBOc4EdkgRJ8aJ8P1CUxo,Trafalgar Square,Central London,tourist_attraction,51.508039,-0.128069,"tourist_attraction,point_of_interest,establishment",4.6,128219.0,"Trafalgar Square, London",
ChIJ66NuMS8bdkgRb0YHGckT794,Grant Museum of Zoology,Central London,tourist_attraction,51.5237545,-0.1344056,"tourist_attraction,museum,point_of_interest,establishment",4.8,1037.0,"Rockefeller Building, 21 University Street, London",
ChIJrZIzFyUFdkgRQlxXXtD9UF4,Wellington Arch,Central London,tourist_attraction,51.5025925,-0.1508545,"tourist_attraction,point_of_interest,establishment",4.5,4337.0,"Apsley Way, London",
ChIJQc8Gx98EdkgR5QHuYQVkxwI,Westminster Cathedral,Central London,tourist_attraction,51.49580899999999,-0.13944,"tourist_attraction,church,place_of_worship,point_of_interest,establishment",4.7,8819.0,"Victoria Street, London",
ChIJaQQ3lEobdkgRmauadcnji9s,Sir John Soane's Museum,Central London,tourist_attraction,51.51703819999999,-0.1174699,"museum,tourist_attraction,point_of_interest,establishment",4.7,4375.0,"13 Lincoln's Inn Fields, London",
ChIJySOgh8sEdkgRCBzTYt83Klg,Royal Ballet and Opera,Central London,tourist_attraction,51.51292109999999,-0.1221976,"tourist_attraction,point_of_interest,establishment",4.8,10217.0,"Bow Street, London",
ChIJY-9VVNUEdkgRiQBELktMFvw,The London Palladium,Central London,tourist_attraction,51.5145703,-0.1404516,"tourist_attraction,store,point_of_interest,establishment",4.6,11436.0,"8 Argyll Street, London",
ChIJRxzRQcUEdkgRGVaKyzmkgvg,10 Downing Street,Central London,tourist_attraction,51.5033635,-0.1276248,"tourist_attraction,point_of_interest,establishment",3.8,621.0,"10 Downing Street, London",
ChIJRfyrbbMEdkgR79OO2x9D8is,Temple Church,Central London,tourist_attraction,51.5132637,-0.1102647,"tourist_attraction,church,place_of_worship,point_of_interest,establishment",4.6,2589.0,"Temple, London",
ChIJkeddM88adkgR80g3pdkn0vw,The Sherlock Holmes Museum,Central London,tourist_attraction,51.523767,-0.1585557,"museum,tourist_attraction,point_of_interest,establishment",4.3,19702.0,"221b Baker Street, London",
ChIJF5YlesMEdkgRT4fo3zv-vBo,Jewel Tower,Central London,tourist_attraction,51.49845759999999,-0.1264205,"tourist_attraction,museum,point_of_interest,establishment",4.0,579.0,"Abingdon Street, London",
ChIJlRMXcDsbdkgRJdsP3nlUkBg,The British Library,Central London,tourist_attraction,51.52997169999999,-0.1276759,"library,tourist_attraction,cafe,store,restaurant,food,point_of_interest,establishment",4.5,3116.0,"96 Euston Road, London",
ChIJ059kIs0EdkgRAbuyqaAavxU,Cambridge Theatre,Central London,tourist_attraction,51.5136653,-0.1266294,"tourist_attraction,store,point_of_interest,establishment",4.6,5355.0,"Earlham Street, London",
ChIJM5ERbdYEdkgRFkMO56hrE_k,Royal Academy of Arts,Central London,tourist_attraction,51.5094426,-0.1398686,"art_gallery,tourist_attraction,point_of_interest,establishment",4.5,1730.0,"Burlington House, Piccadilly, London",
ChIJmZuNDMQEdkgRfB9O9456eQc,Palace of Westminster,Central London,tourist_attraction,51.4994794,-0.1248092,"tourist_attraction,point_of_interest,establishment",4.6,4424.0,London,
ChIJU0_GCNIEdkgRFFmOhiqR4Ts,Empire Casino,Central London,tourist_attraction,51.5108681,-0.1303549,"casino,tourist_attraction,bar,point_of_interest,establishment",3.9,1676.0,"5-6 Leicester Square, London",
ChIJP9s7JzMbdkgRUqiioDkVnzI,The Shaftesbury Theatre,Central London,tourist_attraction,51.516203,-0.1261448,"tourist_attraction,point_of_interest,establishment",4.6,7540.0,"210 Shaftesbury Avenue, London",
